"","file_names","country_name","year","title","language"
"425","latvia_2008_NationalDefenceConcept_noneng.pdf","latvia","2008","National Defence Concept","noneng"
"426","latvia_2008_NationalDefenceConcept.pdf","latvia","2008","National Defence Concept","eng"
"427","latvia_2008_NationalSecurityConcept.pdf","latvia","2008","National Security Concept","eng"
"428","latvia_2011_NationalSecurityConcept.pdf","latvia","2011","National Security Concept","eng"
"429","latvia_2012_StateDefenseConcept.pdf","latvia","2012","State Defense Concept","eng"
"430","latvia_2013_CyberDefenceUnitConcept.pdf","latvia","2013","Cyber Defence Unit Concept","eng"
"431","latvia_2014_CyberSecurityStrategy.pdf","latvia","2014","Cyber Security Strategy","eng"
"432","latvia_2015_NationalSecurityConcept_noneng.pdf","latvia","2015","National Security Concept","noneng"
"433","latvia_2016_NationalDefenceConcept.pdf","latvia","2016","National Defence Concept","eng"
"434","latvia_2016_NationalSecurityConcept.pdf","latvia","2016","National Security Concept","eng"
"435","latvia_2019_NationalSecurityConcept.pdf","latvia","2019","National Security Concept","eng"
"436","latvia_2020_NationalDefenceConcept_noneng.pdf","latvia","2020","National Defence Concept","noneng"
"437","latvia_2020_NationalDefenseConcept.pdf","latvia","2020","National Defense Concept","eng"
"438","latvia_2023_StateDefenceConcept.pdf","latvia","2023","State Defence Concept","eng"
"439","lebanon_2018_StrategicPlan.pdf","lebanon","2018","Strategic Plan","eng"
"440","liberia_2008_NationalSecurityStrategy.pdf","liberia","2008","National Security Strategy","eng"
"441","liberia_2014_NationalDefenseStrategy.pdf","liberia","2014","National Defense Strategy","eng"
"442","lithuania_2002_DefencePolicy.pdf","lithuania","2002","Defence Policy","eng"
"443","lithuania_2002_NationalSecurityStrategy.pdf","lithuania","2002","National Security Strategy","eng"
"444","lithuania_2004_MilitaryStrategyOfLithuania.pdf","lithuania","2004","Military Strategy Of Lithuania","eng"
"445","lithuania_2006_WhitePaper.pdf","lithuania","2006","White Paper","eng"
"446","lithuania_2008_GuidelinesOfTheMinisterOfNationalDefence.pdf","lithuania","2008","Guidelines Of The Minister Of National Defence","eng"
"447","lithuania_2011_DefencePolicy.pdf","lithuania","2011","Defence Policy","eng"
"448","lithuania_2011_DefensePolicy.pdf","lithuania","2011","Defense Policy","eng"
"449","lithuania_2012_MilitaryStrategy.pdf","lithuania","2012","Military Strategy","eng"
"450","lithuania_2012_NationalSecurityStrategy.pdf","lithuania","2012","National Security Strategy","eng"
"451","lithuania_2013_TheWorld2030.pdf","lithuania","2013","The World2030","eng"
"452","lithuania_2015_GuidelinesOfTheMinisterOfNationalDefence.pdf","lithuania","2015","Guidelines Of The Minister Of National Defence","eng"
"453","lithuania_2016_MilitaryStrategy.pdf","lithuania","2016","Military Strategy","eng"
"454","lithuania_2017_NationalSecurityStrategy.pdf","lithuania","2017","National Security Strategy","eng"
"455","lithuania_2017_WhitePaper.pdf","lithuania","2017","White Paper","eng"
"456","lithuania_2018_CyberSecurityStrategy.pdf","lithuania","2018","Cyber Security Strategy","eng"
"457","lithuania_2018_LawOnCyberSecurity.pdf","lithuania","2018","Law On Cyber Security","eng"
"458","lithuania_2020_NationalThreatAssessment.pdf","lithuania","2020","National Threat Assessment","eng"
"459","lithuania_2021_NationalSecurityStrategy.pdf","lithuania","2021","National Security Strategy","eng"
"460","lithuania_2022_NationalDefenseSystem_noneng.pdf","lithuania","2022","National Defense System","noneng"
"461","lithuania_2023_NationalThreatAssessment.pdf","lithuania","2023","National Threat Assessment","eng"
"462","luxembourg_2011_Rapportdactivite_noneng.pdf","luxembourg","2011","Rapportdactivite","noneng"
"463","luxembourg_2012_DeclarationOnForeignPolicy.pdf","luxembourg","2012","Declaration On Foreign Policy","eng"
"464","luxembourg_2017_DefenceGuidelines.pdf","luxembourg","2017","Defence Guidelines","eng"
"465","luxembourg_2019_Declaration.pdf","luxembourg","2019","Declaration","eng"
"466","luxembourg_2023_DefenceGuidelines.pdf","luxembourg","2023","Defence Guidelines","eng"
"467","malaysia_2019_NationalSecurityPolicy.pdf","malaysia","2019","National Security Policy","eng"
"468","malaysia_2020_DefenceWhitePaper.pdf","malaysia","2020","Defence White Paper","eng"
"469","maldives_2012_NationalSecurityPolicy.pdf","maldives","2012","National Security Policy","eng"
"470","malta_2016_StrategyPaper.pdf","malta","2016","Strategy Paper","eng"
"471","malta_2017_StrategyPaper.pdf","malta","2017","Strategy Paper","eng"
"472","mexico_2004_DefenseWhitePaper_noneng.pdf","mexico","2004","Defense White Paper","noneng"
"473","mexico_2005_WhitePaper.pdf","mexico","2005","White Paper","eng"
"474","mexico_2013_DefenseProgram.pdf","mexico","2013","Defense Program","eng"
"475","mexico_2014_NationalSecurityProgram_noneng.pdf","mexico","2014","National Security Program","noneng"
"476","mexico_2014_SecurityProgram.pdf","mexico","2014","Security Program","eng"
